competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action
"D3 M 91","28237","s-3281","TU VERRIERES 1C","TU VERRIERES","TU VERRIERES-LE-BUISSON","e521c0f1-4c2b-4ee9-8550-ff91cd97589b","CONFIRMER_OU_CORRIGER"
"D3 M 91","28237","s-3287","E ITTEVILLE/BALLANCOURT 1A (+16)","E ITTEVILLE/BALLANCOURT","AS ITTEVILLE","225744dc-b94a-422e-939d-6799a0cb435e","CONFIRMER_OU_CORRIGER"
"D3 M 91","28237","s-3297","R ST GERMAIN LES ARPAJON/EGLY (+16) 1B","R ST GERMAIN LES ARPAJON/EGLY1B","","","A_REMPLIR"
"D4 M 91","28238","s-3260","st michel sports handball 1c","ST MICHEL SPORTS HANDBALL","SAINT-MICHEL SPORTS HANDBALL","b2b01871-796a-4fc5-9c7e-83a4871a1897","CONFIRMER_OU_CORRIGER"
"D4 M 91","28238","s-3271","HBC VAL DE SEINE 1C","HANDBALL CLUB VAL DE SEINE","HBC VAL DE SEINE","adee18f6-683c-4127-b564-e9ddf55ac5e9","CONFIRMER_OU_CORRIGER"
"D4 M 91","28238","s-3278","STE GENEVIEVE SPORTS 1B","STE GENEVIEVE SPORTS","STE GENEVIEVE SPORTS","aa99d0f5-cabe-4fac-8d4d-706a24a305c4","CONFIRMER_OU_CORRIGER"
"D4 M 91","28238","s-3280","CO LES ULIS HB","CO LES ULIS HANDBALL","CO LES ULIS","db55531e-c269-4035-b752-20ac3e20fa07","CONFIRMER_OU_CORRIGER"
"D4 M 91","28238","s-3294","USO ATHIS MONS 1B","USO ATHIS MONS","USO ATHIS-MONS","0daea167-4ca4-453f-96ed-ee023bc051cf","CONFIRMER_OU_CORRIGER"
"D4 M 91","28238","s-3299","VAL D'YERRES HB 1B","VAL D'YERRES HANDBALL","VAL D'YERRES HB","3dc23947-406f-4501-8dcf-15791b0b3f03","CONFIRMER_OU_CORRIGER"
"D1 F 91","28286","s-3263","E BONDOUFLE/VAL DE SEINE 1A (+16)","E BONDOUFLE/VAL DE SEINE","","","A_REMPLIR"
"D1 F 91","28286","s-3276","US PALAISEAU 1D","UNION SPORTIVE PALAISEAU","US PALAISEAU","f9e188ac-00bd-4729-a5c1-a627bb02f94c","CONFIRMER_OU_CORRIGER"
"D1 F 91","28286","s-3281","TU VERRIERES 1B","TU VERRIERES","TU VERRIERES-LE-BUISSON","e521c0f1-4c2b-4ee9-8550-ff91cd97589b","CONFIRMER_OU_CORRIGER"
"D1 F 91","28286","s-3296","HBC COUDRAYSIEN 1A","HANDBALL CLUB COUDRAYSIEN","HBC COUDRAYSIEN","151119e3-8420-42c1-9a84-0a4f1d0806c9","CONFIRMER_OU_CORRIGER"
"D1 F 91","28286","s-3299","E VALD'YERRES/CROSNE 1A (+16)","E VALD'YERRES/CROSNE","","","A_REMPLIR"
"D2 F 91","28785","s-3263","R BONDOUFLE/VAL DE SEINE  1B (+16)","R BONDOUFLE/VAL DE SEINE","","","A_REMPLIR"
"D2 F 91","28785","s-3266","HBC DOURDAN 1B","HANDBALL CLUB DOURDAN","HBC DOURDAN","823d2e05-6f44-455b-9c6b-831b33bb0561","CONFIRMER_OU_CORRIGER"
"D2 F 91","28785","s-3267","Draveil handball","DRAVEIL HANDBALL","DRAVEIL HB","64947e4d-751a-4c51-bc4e-c4f865856325","CONFIRMER_OU_CORRIGER"
"D2 F 91","28785","s-3278","STE GENEVIEVE SPORTS 1B","STE GENEVIEVE SPORTS","STE GENEVIEVE SPORTS","aa99d0f5-cabe-4fac-8d4d-706a24a305c4","CONFIRMER_OU_CORRIGER"
"D2 F 91","28785","s-3296","HBC Coudraysien 1B","HANDBALL CLUB COUDRAYSIEN","HBC COUDRAYSIEN","151119e3-8420-42c1-9a84-0a4f1d0806c9","CONFIRMER_OU_CORRIGER"
