competition,c_id,s_id,nom_ics,nom_nettoye,suggestion,club_id_suggere,action,club_id_final
M003 Honneur Masculine,32524,s-2396,HBC FRANOIS (B),HANDBALL CLUB FRANOIS,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
M110 U15m Brassage Niv Haut Et Prepa Honneur,32452,s-2391,HBC FRANOIS (B),HANDBALL CLUB FRANOIS,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
M120 U13m Brassage Niv Haut Et Prepa Honneur,32449,s-2391,HBC FRANOIS (B),HANDBALL CLUB FRANOIS,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Regionale 3 Masculine,32421,s-3141,HBC LIVRY-GARGAN 1B,HANDBALL CLUB LIVRY-GARGAN,,,A_REMPLIR,Le club n'existe pas
Regionale 3 Masculine,32421,s-3332,HBC LIVRY-GARGAN 1B,HANDBALL CLUB LIVRY-GARGAN,,,A_REMPLIR,Le club n'existe pas
Regionale 3 Masculine,32421,s-3278,HBC LIVRY-GARGAN 1B,HANDBALL CLUB LIVRY-GARGAN,,,A_REMPLIR,Le club n'existe pas
M110 U15m Brassage Niv Haut Et Prepa Honneur,32452,s-2425,HBC LURE VILLERS (A),HANDBALL CLUB LURE VILLERS,,,A_REMPLIR,Le club n'existe pas
Daikin Starligue 2026 27,32372,s-2920,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-2920,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 1 Masculine 2026 2027,32469,s-1866,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-2920,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
Nationale 2 Feminine 2026 2027,32609,s-1770,HBC NANTES,HANDBALL CLUB NANTES,HANDBALL CLUB CONCHOIS,384874fb-3e5f-4176-a3af-ca8b05a299c8,CONFIRMER_OU_CORRIGER,Le club n'existe pas
